2024-05-16_23-33-57,./templates/recordings/kord5/2024-05-16_23-33-57.mp3, Thank you.
2024-05-16_23-36-23,./templates/recordings/kord5/2024-05-16_23-36-23.mp3," Cessna 811 53 C, turning right heading 180, ready, 3 to 2, 1, 0, L S."
2024-05-16_23-37-22,./templates/recordings/kord5/2024-05-16_23-37-22.mp3," You know the 1562s turn right at E240 and a Cessna 128, right?"
2024-05-16_23-37-55,./templates/recordings/kord5/2024-05-16_23-37-55.mp3," We ended 52 4 miles from Adam cross the Adam at 4,000, could I less than 8 2 8 right approach?"
2024-05-16_23-38-05,./templates/recordings/kord5/2024-05-16_23-38-05.mp3," We night at 1152, contact Sootar Tower, 120.75."
2024-05-16_23-40-17,./templates/recordings/kord5/2024-05-16_23-40-17.mp3," Buffalo 2449, Chicago Road, Shuradar and X-Z, for the I-N-A, backtraded, C-2 left, the C-Z, discretion."
2024-05-16_23-40-33,./templates/recordings/kord5/2024-05-16_23-40-33.mp3," south of 2449, 10,000, direct mings, and the speed is your discretion."
2024-05-16_23-40-54,./templates/recordings/kord5/2024-05-16_23-40-54.mp3," Southwest 3204, cross-ming at 4, clear on X, 2 left, main change 25, 0 and O, 412 prior to main."
2024-05-16_23-41-07,./templates/recordings/kord5/2024-05-16_23-41-07.mp3," Cessna 31 35, Cessna now cross making it 4, clear on that back to 822F, main change 25 0 9."
2024-05-16_23-41-21,./templates/recordings/kord5/2024-05-16_23-41-21.mp3," Southwest 2449 to send a Yorda discretion to maintain 4,000"
2024-05-16_23-41-28,./templates/recordings/kord5/2024-05-16_23-41-28.mp3, Southwest 2449 to send a file of discretion maintained for it out
2024-05-16_23-41-41,./templates/recordings/kord5/2024-05-16_23-41-41.mp3," 787 Skyville Road, your Runway-28 right."
2024-05-16_23-43-13,./templates/recordings/kord5/2024-05-16_23-43-13.mp3, Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cessna Cess
2024-05-16_23-43-24,./templates/recordings/kord5/2024-05-16_23-43-24.mp3," 787, clear exit Tony and we'll turn base, just as far as Tony."
2024-05-16_23-44-30,./templates/recordings/kord5/2024-05-16_23-44-30.mp3," Southwest 31, 35, maintain 210 S."
2024-05-16_23-45-55,./templates/recordings/kord5/2024-05-16_23-45-55.mp3," That 204J, check out our little roger and expect Runway-20, right, would you like to own a half or a visual approach?"
2024-05-16_23-46-07,./templates/recordings/kord5/2024-05-16_23-46-07.mp3," 425 C, C, your discretion to maintain 10,000."
2024-05-16_23-46-35,./templates/recordings/kord5/2024-05-16_23-46-35.mp3, Southwest 31 35 170 knots or less is that of Cessna commit wait star it's as if 135.2
2024-05-16_23-46-41,./templates/recordings/kord5/2024-05-16_23-46-41.mp3, It
2024-05-16_23-46-46,./templates/recordings/kord5/2024-05-16_23-46-46.mp3," And C04, C05, you can go to exit for it."
2024-05-16_23-46-54,./templates/recordings/kord5/2024-05-16_23-46-54.mp3," United 787 to send the order to press in a maintain 7,000"
2024-05-16_23-47-03,./templates/recordings/kord5/2024-05-16_23-47-03.mp3," Yes, sir, 135.2, you have a good night."
2024-05-16_23-47-10,./templates/recordings/kord5/2024-05-16_23-47-10.mp3," Also 31 35, contact the Midway Tower, it says if on 13 5.2, good night."
2024-05-16_23-47-20,./templates/recordings/kord5/2024-05-16_23-47-20.mp3," across 2449, questioning at 4, center on that back to H32 left, C0 to scratch."
2024-05-16_23-48-02,./templates/recordings/kord5/2024-05-16_23-48-02.mp3," Cessna 784, Chicago T, C, flying 125, that's the C, for Runway-28 right."
2024-05-16_23-48-48,./templates/recordings/kord5/2024-05-16_23-48-48.mp3," 33, 63, 86 I will close to leaving Runway-2-A right"
